,timestamp,elapsed,message_type,instance_id,instance_type,processor_a_cpu,processor_b_cpu,processor_c_cpu,processor_a_mem,processor_b_mem,processor_c_mem
0,1717037226,10215935,text,b,medium-cpu,,,,,,
1,1717037226,5010076,text,c,medium-gpu,,,,,,
2,1717037226,2249921,text,a,large-cpu,,,,,,
3,1717037226,10399522,text,b,medium-cpu,,,,,,
4,1717037226,3033181,text,c,medium-gpu,,,,,,
5,1717037226,15506261,text,a,large-cpu,,,,,,
6,1717037226,5950230,text,b,medium-cpu,,,,,,
7,1717037226,6012149,text,c,medium-gpu,,,,,,
8,1717037226,7242486,text,a,large-cpu,,,,,,
9,1717037226,14711734,text,b,medium-cpu,,,,,,
10,1717037226,2474001,text,c,medium-gpu,,,,,,
11,1717037226,8725777,text,a,large-cpu,,,,,,
12,1717037226,13596360,text,b,medium-cpu,,,,,,
13,1717037226,5334689,text,c,medium-gpu,,,,,,
14,1717037226,11202585,text,a,large-cpu,,,,,,
15,1717037227,4203800,text,b,medium-cpu,,,,,,
16,1717037227,14090181,text,c,medium-gpu,,,,,,
17,1717037227,3145863,text,a,large-cpu,,,,,,
18,1717037227,18608149,text,b,medium-cpu,,,,,,
19,1717037227,19538003,image,c,medium-gpu,,,,,,
20,1717037227,10157801,text,a,large-cpu,,,,,,
21,1717037227,8639124,text,b,medium-cpu,,,,,,
22,1717037227,3632567,text,c,medium-gpu,,,,,,
23,1717037227,873469,text,a,large-cpu,,,,,,
24,1717037227,8767313,text,b,medium-cpu,,,,,,
25,1717037227,14745288,text,c,medium-gpu,,,,,,
26,1717037227,21394742,text,a,large-cpu,,,,,,
27,1717037227,8898661,text,b,medium-cpu,,,,,,
28,1717037227,10121293,text,c,medium-gpu,,,,,,
29,1717037227,9716397,text,a,large-cpu,,,,,,
30,1717037228,5730117,text,b,medium-cpu,,,,,,
31,1717037228,14798373,text,c,medium-gpu,,,,,,
32,1717037228,11760740,text,a,large-cpu,,,,,,
33,1717037228,8962911,text,b,medium-cpu,,,,,,
34,1717037228,14661945,text,c,medium-gpu,,,,,,
35,1717037228,5760581,text,a,large-cpu,,,,,,
36,1717037228,14044761,text,b,medium-cpu,,,,,,
37,1717037228,8884671,text,c,medium-gpu,,,,,,
38,1717037228,20813701,text,a,large-cpu,,,,,,
39,1717037228,11557254,text,b,medium-cpu,,,,,,
40,1717037228,10906962,text,c,medium-gpu,,,,,,
41,1717037228,2539071,text,a,large-cpu,,,,,,
42,1717037228,5749976,text,b,medium-cpu,,,,,,
43,1717037228,7454696,text,c,medium-gpu,,,,,,
44,1717037228,17625392,text,a,large-cpu,,,,,,
45,1717037229,8425413,text,b,medium-cpu,,,,,,
46,1717037229,1780748,text,c,medium-gpu,,,,,,
47,1717037229,35596312,text,a,large-cpu,,,,,,
48,1717037229,3254164,text,b,medium-cpu,,,,,,
49,1717037229,4824894,text,c,medium-gpu,,,,,,
50,1717037229,11250208,text,a,large-cpu,,,,,,
51,1717037229,7783385,text,b,medium-cpu,,,,,,
52,1717037229,1803833,text,c,medium-gpu,,,,,,
53,1717037229,6897133,text,a,large-cpu,,,,,,
54,1717037229,16131225,text,b,medium-cpu,,,,,,
55,1717037229,3772711,text,c,medium-gpu,,,,,,
56,1717037229,2942716,text,a,large-cpu,,,,,,
57,1717037229,7400598,text,b,medium-cpu,,,,,,
58,1717037229,12790553,text,c,medium-gpu,,,,,,
59,1717037229,2960659,text,a,large-cpu,,,,,,
60,1717037230,5735965,text,b,medium-cpu,,,,,,
61,1717037230,3437017,text,c,medium-gpu,,,,,,
62,1717037230,16382638,text,a,large-cpu,,,,,,
63,1717037230,4757960,text,b,medium-cpu,,,,,,
64,1717037230,6484843,text,c,medium-gpu,,,,,,
65,1717037230,17816035,text,a,large-cpu,,,,,,
66,1717037230,10924263,text,b,medium-cpu,,,,,,
67,1717037230,3646748,text,c,medium-gpu,,,,,,
68,1717037230,10042931,text,a,large-cpu,,,,,,
69,1717037230,8680346,text,b,medium-cpu,,,,,,
70,1717037230,8066816,text,c,medium-gpu,,,,,,
71,1717037230,12505837,text,a,large-cpu,,,,,,
72,1717037230,7984078,text,b,medium-cpu,,,,,,
73,1717037230,4948071,text,c,medium-gpu,,,,,,
74,1717037230,2203457,text,a,large-cpu,,,,,,
75,1717037231,8641846,text,b,medium-cpu,,,,,,
76,1717037231,4661277,text,c,medium-gpu,,,,,,
77,1717037231,18014677,text,a,large-cpu,,,,,,
78,1717037231,4899165,text,b,medium-cpu,,,,,,
79,1717037231,5981348,text,c,medium-gpu,,,,,,
80,1717037231,8497313,text,a,large-cpu,,,,,,
81,1717037231,5690561,text,b,medium-cpu,,,,,,
82,1717037231,10559798,text,c,medium-gpu,,,,,,
83,1717037231,13738429,text,a,large-cpu,,,,,,
84,1717037231,8481933,text,b,medium-cpu,,,,,,
85,1717037231,3650343,text,a,large-cpu,,,,,,
86,1717037231,1535955,text,b,medium-cpu,,,,,,
87,1717037231,215802877,audio,c,medium-gpu,,,,,,
88,1717037231,4335305,text,a,large-cpu,,,,,,
89,1717037231,76404636,text,c,medium-gpu,,,,,,
90,1717037231,20521631,text,b,medium-cpu,,,,,,
91,1717037232,78257251,text,c,medium-gpu,,,,,,
92,1717037232,14150592,text,a,large-cpu,,,,,,
93,1717037232,8183705,text,b,medium-cpu,,,,,,
94,1717037232,10622803,text,c,medium-gpu,,,,,,
95,1717037232,7882557,text,a,large-cpu,,,,,,
96,1717037232,16119592,text,b,medium-cpu,,,,,,
97,1717037232,10734823,text,c,medium-gpu,,,,,,
98,1717037232,2938403,text,a,large-cpu,,,,,,
99,1717037232,6001871,text,b,medium-cpu,,,,,,
100,1717037232,13848252,text,c,medium-gpu,,,,,,
101,1717037232,14340200,text,a,large-cpu,,,,,,
102,1717037232,4734315,text,b,medium-cpu,,,,,,
103,1717037232,10267157,text,c,medium-gpu,,,,,,
104,1717037232,1623282,text,a,large-cpu,,,,,,
105,1717037232,4777162,text,b,medium-cpu,,,,,,
106,1717037233,8692661,text,c,medium-gpu,,,,,,
107,1717037233,3270576,text,a,large-cpu,,,,,,
108,1717037233,7846412,text,b,medium-cpu,,,,,,
109,1717037233,20026049,text,c,medium-gpu,,,,,,
110,1717037233,8290872,text,a,large-cpu,,,,,,
111,1717037233,13279340,text,b,medium-cpu,,,,,,
112,1717037233,11482146,text,c,medium-gpu,,,,,,
113,1717037233,14911188,text,a,large-cpu,,,,,,
114,1717037233,8583351,text,b,medium-cpu,,,,,,
115,1717037233,11585427,text,c,medium-gpu,,,,,,
116,1717037233,16347836,text,a,large-cpu,,,,,,
117,1717037233,15046612,text,b,medium-cpu,,,,,,
118,1717037233,7482198,text,c,medium-gpu,,,,,,
119,1717037233,2312292,text,a,large-cpu,,,,,,
120,1717037233,13734300,text,b,medium-cpu,,,,,,
121,1717037234,8140722,text,c,medium-gpu,,,,,,
122,1717037234,14564808,text,a,large-cpu,,,,,,
123,1717037234,9912379,text,b,medium-cpu,,,,,,
124,1717037234,10862421,text,c,medium-gpu,,,,,,
125,1717037234,11469278,text,a,large-cpu,,,,,,
126,1717037234,10421773,text,b,medium-cpu,,,,,,
127,1717037234,12240564,text,c,medium-gpu,,,,,,
128,1717037234,3081527,text,a,large-cpu,,,,,,
129,1717037234,18094779,text,b,medium-cpu,,,,,,
130,1717037234,21857185,text,c,medium-gpu,,,,,,
131,1717037234,3677737,text,a,large-cpu,,,,,,
132,1717037234,5858910,text,b,medium-cpu,,,,,,
133,1717037234,10871572,text,c,medium-gpu,,,,,,
134,1717037234,12225626,text,a,large-cpu,,,,,,
135,1717037234,6711179,text,b,medium-cpu,,,,,,
136,1717037235,13208989,text,c,medium-gpu,,,,,,
137,1717037235,7848578,text,a,large-cpu,,,,,,
138,1717037235,5821691,text,b,medium-cpu,,,,,,
139,1717037235,6912621,text,c,medium-gpu,,,,,,
140,1717037235,6411687,text,a,large-cpu,,,,,,
141,1717037235,4796809,text,b,medium-cpu,,,,,,
142,1717037235,7643711,text,c,medium-gpu,,,,,,
143,1717037235,4866491,text,a,large-cpu,,,,,,
144,1717037235,12699329,text,b,medium-cpu,,,,,,
145,1717037235,10602039,text,c,medium-gpu,,,,,,
146,1717037235,7205335,text,a,large-cpu,,,,,,
147,1717037235,13302354,text,b,medium-cpu,,,,,,
148,1717037235,2767178,text,c,medium-gpu,,,,,,
149,1717037235,6166576,text,a,large-cpu,,,,,,
150,1717037235,6543338,text,b,medium-cpu,,,,,,
